Date/Time,Mean CO2 (ppm),Mean CH4 (ppm),Mean N2O (ppm),Mean NH3 (ppm),Mean H2O (percent),Cav. Pressure (kPa),Cav. Temperature (K),Water Content (fraction),Chmbr. Temperature (K),Chmbr. Pressure (kPa),Flux CO2 (L) (umol/m^2/s),Flux CO2 (E) (umol/m^2/s),Flux CH4 (L) (nmol/m^2/s),Flux CH4 (E) (nmol/m^2/s),Flux N2O (L) (nmol/m^2/s),Flux N2O (E) (nmol/m^2/s),Flux NH3 (L) (umol/m^2/s),Flux NH3 (E) (umol/m^2/s),Soil VWC (%),Soil Temperature (degC),Температура воздуха,Отн. влажность,Точка росы,Атмосферное давление,Скорость ветра,Направление ветра,Приходящая солнечная радиация,Влагосодержание почвы,Электропроводность почвы,Температура почвы
2022-06-24 14:58:35,560.74011941,2.01384688,0.48576266,111.88574315,3.55507943,18.66534472,318.15041015,0.03924611,301.3476827,99.477013,5.34669111,14.22086262,-0.06793329,-0.28216258,-0.21645184,-0.21609113,3.01873035,22.45797329,2009.040039,30.1,23.84,51.31,13.21,731.3,1.33,Восток,167.63,25.31,0.2,26.18
2022-06-24 15:52:39,431.00445919,2.01568408,0.48583377,76.90828325,6.09552959,18.66528198,318.14962787,0.06454809,300.81024685,99.471123,0.77270646,1.29138175,-0.0998561,-0.4536033,-0.02335113,-27.77173064,-0.29921324,-0.30216249,2015.959961,36.599998,24.09,49.86,13.0,731.18,1.61,Восток,170.94,25.31,0.2,26.1
2022-06-24 16:06:51,430.85152486,2.01963965,0.47889763,63.34658966,5.81892853,18.66518127,318.15067284,0.06032781,301.17624461,99.443253,0.58054388,1.05949194,-0.08001487,-0.0801027,0.02642523,0.00550216,-0.10701722,-0.10725774,1988.48999,31.5,24.09,49.86,13.0,731.18,1.61,Восток,170.94,25.31,0.2,26.1
2022-06-24 17:01:13,683.42503919,2.00274023,0.53962805,32.99521031,5.87447391,18.66528945,318.15052934,0.05570911,301.1030385,99.406296,9.4582654,27.40748139,-0.19603196,-0.19529596,2.1527382,6.01492345,-0.4316207,-0.55544528,2006.609985,31.299999,23.82,51.74,13.31,731.33,1.19,Восток,134.77,25.31,0.19,25.98
2022-06-24 17:55:45,429.78261709,2.00968804,0.46592671,47.69700819,5.93757364,18.66536483,318.15014133,0.05982972,299.38589764,99.529434,0.78408841,1.60899459,0.02093014,-0.85681447,0.2551336,0.25638883,-0.08180141,-0.08192271,1965.25,29.200001,22.88,55.61,13.54,731.82,0.7,юго-восток,55.52,25.25,0.19,25.8
2022-06-24 18:09:23,424.40985553,2.01699078,0.46401781,40.95093331,5.90643639,18.66529023,318.15000595,0.06044257,298.99900674,99.493126,0.55212023,1.07018125,-0.14743972,-0.14749799,-0.08767588,-0.08772475,-0.22408129,-0.2270181,2009.319946,34.400002,22.88,55.61,13.54,731.82,0.7,юго-восток,55.52,25.25,0.19,25.8
2022-06-24 18:50:06,523.60219989,2.01107161,0.3927546,29.2681386,5.65225253,18.6653467,318.14978169,0.05792273,297.90717699,99.113312,4.20042033,10.25856629,-0.0096697,-0.50213753,0.48878794,1.97716435,-0.13804574,-0.22664583,1955.22998,27.6,21.34,62.39,13.87,732.05,1.1,Восток,2.55,25.15,0.19,25.46
2022-06-24 19:03:17,576.65730547,2.02525877,0.37385162,29.9388055,5.58794778,18.66528506,318.14957448,0.05635625,297.28636694,99.507828,6.43474554,13.41907139,-0.19483572,-0.20954901,0.33194374,0.3303452,-0.33889155,-0.60417826,1972.670044,25.1,21.34,62.39,13.87,732.05,1.1,Восток,2.55,25.15,0.19,25.46
2022-06-24 19:58:18,465.2953184,2.03168691,0.34264739,31.39145962,2.53411329,18.66519138,318.14985218,0.02761206,296.0783206,99.690247,1.98988349,3.18658906,-0.19450896,-0.35388858,0.35873956,0.35967332,-0.25111596,-0.25286399,1994.119995,22.700001,20.26,69.7,14.55,732.13,0.97,Юг,0.0,25.11,0.19,25.01
2022-06-24 20:52:51,460.97746634,2.07841427,0.33989607,21.44505616,1.75398134,18.66527297,318.14973979,0.01675651,293.63472774,99.589905,1.00037371,1.17459613,-0.24407373,-0.2473753,0.34684624,0.55942609,-0.07747276,-0.07766319,2131.350098,26.4,18.81,77.43,14.79,732.48,0.81,юго-восток,0.0,25.01,0.19,24.56
2022-06-24 21:06:14,549.87277837,2.07079644,0.35618267,7.96393126,1.68862358,18.66534211,318.14976294,0.01712673,292.26502939,99.075142,2.82057547,5.41174172,-0.11853233,-0.14106365,0.58205716,0.90348036,-0.11850865,-0.3575286,1951.319946,22.5,18.81,77.43,14.79,732.48,0.81,юго-восток,0.0,25.01,0.19,24.56
2022-06-24 22:00:51,527.28843296,2.07331174,0.33753716,18.38829497,1.92719362,18.66527247,318.14975504,0.01808381,292.50649212,97.641418,3.1066632,4.40811648,-0.2422407,-0.45623315,0.31735575,1.27203133,-0.09593151,-0.09630846,1963.97998,21.799999,19.15,76.99,15.03,732.34,0.97,Восток,0.0,24.88,0.18,24.12
2022-06-24 22:55:24,488.33268122,2.15060724,0.33810505,13.29424636,1.79681396,18.66534482,318.14981766,0.01833529,292.48540655,99.60466,0.61202209,1.44441458,0.25822141,0.25822652,0.36573096,0.49034586,-0.12990111,-0.23058395,1973.699951,21.299999,18.33,84.16,15.61,731.82,0.77,юго-восток,0.0,24.85,0.18,23.77
2022-06-24 23:09:01,498.7988885,2.24523827,0.34293097,19.06180082,1.85621053,18.6652707,318.1497995,0.0178831,292.89061112,99.565536,1.12799795,1.90566838,-0.23342275,-0.56528057,0.45377163,0.97833596,-0.05054727,-0.05062692,2129.280029,25.700001,18.33,84.16,15.61,731.82,0.77,юго-восток,0.0,24.85,0.18,23.77
2022-06-25 00:03:21,524.2406824,2.2139898,0.35000913,12.63556106,1.86764431,18.66529152,318.14985112,0.01862885,291.47180785,99.561699,1.6538291,4.27390586,0.05477165,-1.02463924,0.47411444,2.6068204,-0.16298239,-0.34199031,1993.459961,20.0,17.91,85.91,15.53,731.37,0.92,Восток,0.0,24.75,0.18,23.51
2022-06-25 00:57:53,547.6277034,2.27167198,0.35175512,8.14866049,1.75720032,18.66533426,318.14984398,0.01794165,291.74491091,99.505936,0.49093535,1.18416993,-0.2410679,-0.24299325,0.17844368,0.18093581,-0.10244041,-0.19385955,1998.839966,29.9,17.12,88.51,15.22,731.3,0.52,юго-запад,0.0,24.64,0.18,23.24
2022-06-25 01:52:11,497.54369788,2.65526688,0.33507742,7.59896765,1.76200556,18.66537597,318.14981397,0.01759348,291.02184338,99.564758,1.83836638,3.61807448,-2.80969867,-2.81270476,0.01084897,0.00128243,-0.07149874,-0.14496802,1962.819946,18.5,16.61,91.43,15.22,731.65,0.55,юго-запад,0.0,24.61,0.18,22.94
2022-06-25 02:05:23,524.10336985,2.22483651,0.34175282,15.27036764,2.02728072,18.66529135,318.14979634,0.02046251,290.97850012,99.48056,3.18225506,5.48018902,2.97743175,2.97338605,0.52201689,1.44220313,-0.12530182,-0.19794586,2001.810059,18.9,16.61,91.43,15.22,731.65,0.55,юго-запад,0.0,24.61,0.18,22.94
2022-06-25 03:00:26,515.33684382,2.66404666,0.33859321,10.40928541,1.93459486,18.66523564,318.14981474,0.01958776,289.11010324,99.601173,1.49683429,2.47234289,0.20526152,0.20497157,0.14585936,0.14534167,-0.19321831,-0.74257003,1954.810059,18.799999,16.32,92.18,15.06,731.85,0.49,Юг,0.0,24.54,0.17,22.58
2022-06-25 03:54:43,555.61921982,2.61548022,0.35022794,4.77592625,1.51113659,18.66539115,318.14980381,0.01508784,288.47285667,99.383377,1.7629479,3.65363516,-0.7293755,-0.72994585,0.51796261,0.96754555,-0.0776418,-0.22877837,1946.140015,17.5,16.17,94.08,15.23,732.36,0.89,Юг,8.03,24.41,0.17,22.26
2022-06-25 04:08:21,556.32873596,2.55079613,0.34417601,6.36986257,1.61195092,18.66529878,318.14978389,0.01583499,288.84310826,99.692001,1.64301529,3.14197551,0.55689561,0.55609639,0.34967793,2.06072126,-0.05574669,-0.13860701,1961.959961,16.799999,16.17,94.08,15.23,732.36,0.89,Юг,8.03,24.41,0.17,22.26
2022-06-25 05:02:32,506.60901608,2.48697264,0.33474149,15.0891937,1.94562002,18.66527646,318.14996676,0.01905035,291.42000167,99.726448,1.55111243,2.14971635,1.08158743,1.08170503,0.26231519,0.44726826,-0.04237954,-0.04238988,1984.27002,17.9,17.45,86.76,15.22,732.27,0.48,юго-запад,101.04,24.38,0.17,22.03
2022-06-25 05:57:03,515.04586059,2.75887934,0.33779192,16.24074154,2.12868582,18.66527297,318.15016008,0.02091245,292.31959,99.588043,1.70634988,2.35480652,-0.1341528,-0.36026821,0.34319987,0.3453572,0.03185022,0.89518532,2121.929932,24.299999,18.36,83.85,15.6,732.47,0.93,Запад,162.05,24.4,0.17,21.96
2022-06-25 06:51:19,493.78664139,2.42585391,0.34060961,8.52895878,2.08060229,18.66528293,318.15016691,0.02307338,294.31532061,99.685265,1.44308255,2.58682575,0.21380421,0.21335664,0.48502663,0.88010664,-0.09997696,-0.28385669,1993.410034,20.799999,19.64,78.81,15.87,732.44,1.05,юго-запад,212.18,24.39,0.17,22.06
2022-06-25 07:04:59,414.42238294,2.48896233,0.34528335,12.88274329,2.35881088,18.66525216,318.15040719,0.02387519,296.75150632,100.487968,-2.03178526,-4.52032969,0.66633933,0.66470603,0.59708114,0.60266528,-0.0863124,-0.08645795,1964.25,22.0,19.64,78.81,15.87,732.44,1.05,юго-запад,212.18,24.39,0.17,22.06
2022-06-25 07:59:59,508.1041415,2.60418056,0.33751012,8.20158567,2.27138904,18.66526933,318.15046595,0.02128482,296.62054195,99.654938,2.07521853,4.41185741,-0.24985851,-0.24964289,0.1457732,1.06091282,-0.05750465,-0.05826411,1971.430054,22.1,20.75,71.9,15.49,732.5,0.92,Запад,410.73,24.38,0.17,22.35
2022-06-25 08:54:16,438.94097914,2.28465783,0.34213199,8.93159561,2.6017824,18.6654326,318.14702844,0.01921326,298.85554162,99.611481,0.19603243,0.1959081,-0.1838515,-0.18362286,0.35845206,1.72060212,0.02252577,0.20709056,2009.589966,24.700001,21.42,69.1,15.54,732.71,1.39,Запад,504.11,24.55,0.18,22.83
